source_row,x,y,status,candidate_count,ideal_function,delta_y,threshold,margin_to_threshold
71,-11.0000000000,441.0197800000,assigned,1,40,0.0242100000,0.7067942400,0.6825842400
72,4.1000000000,20.7576470000,assigned,1,36,0.2576470000,0.7056119575,0.4479649575
73,-5.9000000000,-6962.9840000000,unassigned,0,,,,
74,3.9000000000,3.3172070000,assigned,1,13,0.5172070000,0.7060051088,0.1887981088
75,-19.5000000000,-42.8775630000,unassigned,0,,,,
76,-9.3000000000,372.4785200000,unassigned,0,,,,
77,0.9000000000,5.4330200000,unassigned,0,,,,
78,4.2000000000,20.0809020000,unassigned,0,,,,
79,-2.7000000000,162.9905400000,unassigned,0,,,,
80,2.7000000000,-0.2146512100,assigned,1,13,0.6146512100,0.7060051088,0.0913538988
81,-14.9000000000,74.2484700000,assigned,1,36,0.2515300000,0.7056119575,0.4540819575
82,-4.3000000000,204.0163000000,unassigned,0,,,,
83,-9.7000000000,387.7129200000,unassigned,0,,,,
84,-14.2000000000,-33.8600100000,assigned,1,13,0.4600100000,0.7060051088,0.2459951088
85,9.8000000000,14.2554840000,assigned,1,13,0.3445160000,0.7060051088,0.3614891088
86,-16.5000000000,83.8537500000,unassigned,0,,,,
87,-2.5000000000,13.5823050000,unassigned,0,,,,
88,-10.2000000000,52.1533050000,unassigned,0,,,,
89,-18.6000000000,-15681.1710000000,unassigned,0,,,,
90,-10.3000000000,-2185.5117000000,assigned,1,24,0.0577000000,0.7056925676,0.6479925676
91,4.4000000000,30.2816070000,unassigned,0,,,,
92,-13.5000000000,-32.9245220000,unassigned,0,,,,
93,10.3000000000,16.6986680000,unassigned,0,,,,
94,-9.1000000000,1350.3818000000,unassigned,0,,,,
95,-19.4000000000,-14601.7830000000,unassigned,0,,,,
96,18.8000000000,3417.3665000000,unassigned,0,,,,
97,14.7000000000,73.4949400000,assigned,1,36,0.0050600000,0.7056119575,0.7005519575
98,13.2000000000,5111.8228000000,unassigned,0,,,,
99,-17.5000000000,755.1905000000,unassigned,0,,,,
100,12.2000000000,59.6220600000,unassigned,0,,,,
